variant allele pValue beta chromosome position
rs12600861 A 1e-08 -0.0565 17 7452302
rs12951632 T 1e-09 0.0642 17 42588995
rs2269906 A 6e-10 0.0631 17 44216969
rs850738 A 1e-11 -0.071 17 44357262
rs62053943 T 4e-68 -0.27 17 45666837
rs117615688 A 7e-16 -0.2324 17 45720942
rs11658976 A 4e-08 -0.0624 17 46789439
rs61169879 T 9e-10 0.082 17 61840005
rs666463 A 3e-09 0.076 17 78429399
rs1941685 T 2e-08 0.0531 18 33724354
rs12456492 A 4e-23 -0.0983 18 43093415
rs8087969 T 1e-08 -0.0578 18 51157219
rs55818311 T 4e-10 -0.0696 19 2341049
rs77351827 T 9e-09 0.0802 20 6025395
rs2248244 A 3e-11 0.0714 21 37480059
rs35643925 A 8e-22 0.389 1 156185069
rs4954162 A 2e-08 -0.0746 2 134681219
rs356228 C 1e-48 0.1503 4 89685975
rs356203 T 5e-149 -0.2504 4 89744890
rs6875262 T 1e-08 0.1141 5 124774580
rs9267659 A 4e-11 0.079 6 31878457
rs181609621 A 8e-11 -0.4232 12 32657825
rs117073808 T 2e-20 -0.3955 12 40528770
rs141128804 T 6e-14 0.3468 12 40542837
rs138017112 C 7e-12 0.413 12 41901977
rs114138760 C 4e-09 0.2812 1 154925709
rs35749011 A 2e-70 0.6068 1 155162560
rs76763715 T 2e-22 -0.7467 1 155235843
rs6658353 C 6e-12 0.065 1 161499264
rs11578699 T 4e-09 -0.0704 1 171750629
rs823118 T 1e-29 0.1066 1 205754444
rs11557080 A 3e-22 0.1315 1 205768611
rs4653767 T 1e-15 0.0833 1 226728377
rs10797576 T 7e-17 0.1114 1 232528865
rs76116224 A 1e-08 0.1104 2 17966582
rs2042477 A 1e-08 -0.0657 2 95335195
rs11683001 A 8e-13 0.0705 2 101780501
rs57891859 A 5e-14 0.0807 2 134707046
rs4101061 A 5e-19 -0.0912 4 76226816
rs73038319 A 6e-13 -0.1693 3 18320267
rs356182 A 4e-154 -0.2774 4 89704960
rs12497850 T 1e-10 0.0636 3 48711556
rs55961674 T 1e-11 0.0861 3 122478045
rs11707416 A 1e-10 -0.0627 3 151391177
rs1450522 A 5e-10 -0.0616 3 161359842
rs10513789 T 1e-34 0.1485 3 183042285
rs873786 T 2e-21 -0.1731 4 931588
rs34311866 T 1e-69 -0.2126 4 958159
rs4698412 A 2e-28 0.1035 4 15735725
rs34025766 A 3e-10 -0.0839 4 17967188
rs6825004 C 1e-09 0.0622 4 76189212
rs1474055 T 3e-39 0.1796 2 168253884
rs6854006 T 6e-21 -0.0912 4 76276901
rs6808178 T 8e-12 0.0658 3 28664199
rs5019538 A 1e-36 -0.1565 4 89715479
rs13117519 T 1e-12 0.0875 4 113447909
rs62333164 A 2e-10 -0.0638 4 169662006
rs1867598 A 3e-23 -0.1554 5 60842132
rs26431 C 2e-09 0.0621 5 103030090
rs11950533 A 7e-09 -0.0916 5 134863415
rs4140646 A 6e-12 0.0833 6 27771022
rs9261484 T 2e-08 -0.0635 6 30140906
rs112485576 A 7e-28 -0.1676 7 17300533
rs12528068 T 2e-10 0.0657 6 71778059
rs997368 A 2e-09 0.0714 6 111922088
rs75859381 T 1e-10 -0.2207 6 132889222
rs199351 A 5e-26 0.1016 7 23260430
rs76949143 A 1e-08 -0.1432 7 66544864
rs1293298 A 4e-16 0.093 8 11854934
rs620513 T 3e-15 -0.0856 8 16840084
rs2280104 T 1e-08 0.0556 8 22668467
rs2086641 T 2e-08 -0.0605 8 129889663
rs13294100 T 9e-18 -0.0859 9 17579692
rs10756907 A 5e-17 -0.0926 9 17727067
rs6476434 T 7e-09 -0.0615 9 34046393
rs896435 T 3e-13 0.0735 10 15515407
rs10748818 A 1e-09 -0.079 10 102255522
rs72840788 A 2e-11 0.0763 10 119656173
rs117896735 A 2e-28 0.4354 10 119776815
rs7938782 A 2e-09 0.087 11 10537230
rs12283611 A 3e-10 -0.0645 11 83776234
rs3802920 T 6e-20 0.1073 11 133917106
rs76904798 T 2e-28 0.1439 12 40220632
rs34637584 A 4e-148 2.4289 12 40340400
rs7134559 T 4e-08 -0.0539 12 46025303
rs10847864 T 1e-37 0.1478 12 122842051
rs11610045 A 2e-10 0.0601 12 132487182
rs9568188 T 1e-08 0.0617 13 49353596
rs4771268 T 1e-09 0.0675 13 97212767
rs12147950 T 4e-08 -0.0529 14 37520065
rs11158026 T 2e-16 -0.0842 14 54882151
rs3742785 A 2e-09 0.0707 14 74906331
rs979812 T 6e-11 0.061 14 87997920
rs2251086 T 6e-18 -0.1186 15 61705186
rs6497339 A 3e-11 0.063 16 19266171
rs2904880 C 8e-10 -0.065 16 28933075
rs11150601 A 5e-20 0.0907 16 30966478
rs6500328 A 2e-09 0.0586 16 50702745
rs3104783 A 1e-12 0.0668 16 52602330
rs10221156 A 1e-10 -0.1156 16 52935514
rs144755950 T 2e-10 -0.3993 12 42141601
rs17686238 T 8e-27 -0.1896 17 45339907
rs9912362 T 2e-13 0.077 17 45706862
rs7221167 T 1e-37 0.1443 17 45855941
rs7225002 A 2e-40 0.1351 17 46111701
rs199453 T 9e-67 -0.2045 17 46723580
rs2295545 T 8e-11 0.0622 20 3184040
